iter	Logloss
0	0.6729436695
1	0.6542785002
2	0.6369069118
3	0.6213207985
4	0.6059704174
5	0.5940128887
6	0.5806552919
7	0.5685292273
8	0.5573148445
9	0.5463415759
10	0.5365148427
11	0.5270844597
12	0.5184853308
13	0.5104886139
14	0.5029042274
15	0.4974686931
16	0.4908315832
17	0.4851006729
18	0.4787591639
19	0.4732973644
20	0.4680667994
21	0.4625598358
22	0.458786994
23	0.4538198701
24	0.4499618249
25	0.4460127759
26	0.4422242639
27	0.4387320816
28	0.4355709035
29	0.4324239403
30	0.4293815838
31	0.4268857935
32	0.4245196031
33	0.4221672951
34	0.4190369073
35	0.4170675615
36	0.4144727751
37	0.4120680101
38	0.4099842098
39	0.4077370565
40	0.4059995559
41	0.4037944644
42	0.4022974306
43	0.4006065302
44	0.3994691872
45	0.3980071431
46	0.3962860417
47	0.3950209858
48	0.3934526255
49	0.3919224079
50	0.3905744242
51	0.3894265912
52	0.3882056068
53	0.3866909975
54	0.3857369899
55	0.3843710509
56	0.3832979938
57	0.3824022961
58	0.3814915957
59	0.3803856256
60	0.379443693
61	0.3784650467
62	0.3774041672
63	0.3765087205
64	0.3755877071
65	0.3747124481
66	0.3742509983
67	0.3730685945
68	0.3724977854
69	0.3717001188
70	0.3709512183
71	0.3703001475
72	0.3696434894
73	0.3688725739
74	0.3678803004
75	0.3672727524
76	0.3664608195
77	0.3657470721
78	0.3650340261
79	0.3643290561
80	0.3635579596
81	0.3627496744
82	0.3619724079
83	0.3612498568
84	0.3604627909
85	0.3598173389
86	0.3593106309
87	0.3580738948
88	0.3574277901
89	0.3568786556
90	0.3561891057
91	0.3554405202
92	0.3549705719
93	0.3542581154
94	0.3535995984
95	0.3530132383
96	0.3524500496
97	0.3518298145
98	0.3514106601
99	0.3508125977
100	0.3502638553
101	0.3496348331
102	0.3488949334
103	0.3482801639
104	0.3477122804
105	0.3470413453
106	0.3467617321
107	0.345747884
108	0.3451870982
109	0.3445051206
110	0.3439344441
111	0.3432424808
112	0.3423252151
113	0.3417150704
114	0.3412986132
115	0.3407757381
116	0.3403701556
117	0.3398910319
118	0.339606833
119	0.3390139475
120	0.3384781613
121	0.3379429388
122	0.3374529033
123	0.3366122513
124	0.335513197
125	0.3348957244
126	0.3343712109
127	0.3339226212
128	0.333478963
129	0.333008448
130	0.3325915368
131	0.3320724829
132	0.3316859414
133	0.33129113
134	0.3307182548
135	0.3303366214
136	0.329934743
137	0.3294669971
138	0.3292103047
139	0.3287015779
140	0.3282818046
141	0.3280098373
142	0.327382561
143	0.3269313827
144	0.3263145576
145	0.3258713302
146	0.32562745
147	0.3251837282
148	0.3248521818
149	0.3237721313
150	0.323460843
151	0.3229164371
152	0.3224462655
153	0.3220204743
154	0.3215991954
155	0.3211882287
156	0.3208144377
157	0.3204194118
158	0.3196456253
159	0.31929922
160	0.3188692413
161	0.3182292539
162	0.3179536784
163	0.3175926764
164	0.3173706173
165	0.3168826461
166	0.3163700801
167	0.3159852342
168	0.3154655946
169	0.3151923732
170	0.3147413084
171	0.3144844061
172	0.3142526601
173	0.3139452062
174	0.3134182629
175	0.3128339103
176	0.3124701044
177	0.3121669547
178	0.3119442103
179	0.3116435303
180	0.3113465601
181	0.311072473
182	0.3105806851
183	0.3101030577
184	0.3096239112
185	0.3090956611
186	0.3088044251
187	0.3083284952
188	0.3079330826
189	0.3077059517
190	0.3071717519
191	0.3068685233
192	0.3066705957
193	0.3062716578
194	0.305814612
195	0.3054726598
196	0.3050649049
197	0.3046111971
198	0.3041621218
199	0.3037400101
200	0.3034671272
201	0.3028361443
202	0.3025885884
203	0.30210154
204	0.3017967232
205	0.3015230393
206	0.3011659089
207	0.3007391342
208	0.3002317547
209	0.2999376834
210	0.2993251169
211	0.298932453
212	0.298567365
213	0.2980011557
214	0.2974997288
215	0.297211516
216	0.2968336986
217	0.2965845921
218	0.2961845946
219	0.2957898922
220	0.2953829262
221	0.2949825521
222	0.2945998472
223	0.2940142469
224	0.2937794296
225	0.2931073819
226	0.2925463519
227	0.292215794
228	0.2918625115
229	0.2915898339
230	0.291308323
231	0.2909570853
232	0.290653703
233	0.2904299005
234	0.2900690411
235	0.2898556856
236	0.2896359952
237	0.2893632333
238	0.2887190466
239	0.2884945352
240	0.288153894
241	0.2876691612
242	0.2871587978
243	0.2868668581
244	0.2865368976
245	0.2861187882
246	0.2856747555
247	0.2851747667
248	0.2849350621
249	0.2845009702
250	0.2840516921
251	0.2837581361
252	0.2836457596
253	0.2835011608
254	0.2832412992
255	0.2829086321
256	0.2827823944
257	0.2824249075
258	0.2821818348
259	0.2817378389
260	0.2812820107
261	0.2810513263
262	0.2808370821
263	0.2804947543
264	0.2802918808
265	0.2799845524
266	0.279597886
267	0.2792169265
268	0.278984392
269	0.278683801
270	0.2783073626
271	0.2777613297
272	0.2775585311
273	0.277407241
274	0.2771829652
275	0.2766677089
276	0.2760528358
277	0.275788423
278	0.2755154176
279	0.2752122544
280	0.2748322919
281	0.2746513914
282	0.2743812607
283	0.274234648
284	0.2738610637
285	0.2736936804
286	0.2732999434
287	0.2730701082
288	0.2725940976
289	0.2723857634
290	0.2721213711
291	0.2716375967
292	0.2714289568
293	0.2711254648
294	0.2708084546
295	0.2705784578
296	0.2702617528
297	0.2696973438
298	0.2695120882
299	0.269071444
300	0.2688140738
301	0.268465157
302	0.2682475249
303	0.2677744691
304	0.2674729932
305	0.2672315892
306	0.2670485199
307	0.2668125391
308	0.2665157482
309	0.2661803894
310	0.2655477052
311	0.2652852348
312	0.2650268403
313	0.2647132297
314	0.2644601199
315	0.2641861218
316	0.2638037047
317	0.2634506458
318	0.2631892046
319	0.2628798652
320	0.2625101008
321	0.262325721
322	0.2619075326
323	0.2616284869
324	0.2613426559
325	0.2610768104
326	0.2608345603
327	0.2605498804
328	0.2603600055
329	0.2601547305
330	0.25976385
331	0.259505599
332	0.2592406713
333	0.2590153021
334	0.2587346845
335	0.2585180972
336	0.2582445294
337	0.2579882792
338	0.2575431812
339	0.2571755674
340	0.2568531724
341	0.2565121993
342	0.2560954129
343	0.2558543156
344	0.2554517527
345	0.2552040721
346	0.2549858502
347	0.2545460889
348	0.2541818703
349	0.2540011959
350	0.2535707388
351	0.2533713372
352	0.2531580015
353	0.2529769024
354	0.2527077797
355	0.2524663713
356	0.2521767597
357	0.2519608172
358	0.2517596055
359	0.2513263755
360	0.2510965683
361	0.2508865788
362	0.2506762227
363	0.250391364
364	0.2501713538
365	0.2499573048
366	0.2495600629
367	0.2492115181
368	0.2488788025
369	0.2486186035
370	0.2482082631
371	0.2479978449
372	0.2477033358
373	0.2475168115
374	0.2471774052
375	0.2470076688
376	0.2467903409
377	0.2465618051
378	0.2462746955
379	0.2460297455
380	0.245913818
381	0.2455250986
382	0.245317828
383	0.2450022879
384	0.2447194435
385	0.2442285818
386	0.2439494404
387	0.2437016762
388	0.2435150608
389	0.2432401693
390	0.2428676018
391	0.2425872874
392	0.2423016827
393	0.2418707514
394	0.2416448479
395	0.2413363902
396	0.2411741407
397	0.2409311645
398	0.240679341
399	0.2402514642
400	0.2400815585
401	0.2397502071
402	0.2393634828
403	0.2391872665
404	0.2390410144
405	0.2387620811
406	0.2386223716
407	0.238222867
408	0.2380181773
409	0.237815928
410	0.237592311
411	0.2374252604
412	0.2370808102
413	0.2368150755
414	0.2364867566
415	0.2361525541
416	0.2358733135
417	0.2355307821
418	0.2352590249
419	0.2349881529
420	0.2346606835
421	0.2343668968
422	0.2340502765
423	0.2336010736
424	0.2333668713
425	0.2332083132
426	0.2330022753
427	0.2327351643
428	0.2324029552
429	0.2322127079
430	0.2320223471
431	0.2317499869
432	0.2312544433
433	0.230915433
434	0.2304640452
435	0.2301813627
436	0.229950435
437	0.2297225285
438	0.229482667
439	0.229114012
440	0.2288657403
441	0.2286173574
442	0.2284268987
443	0.2280365456
444	0.2277781201
445	0.2275854885
446	0.2274143031
447	0.2271389897
448	0.2268985771
449	0.2264944711
450	0.2262959015
451	0.2259370105
452	0.2257952187
453	0.2255231439
454	0.2250733249
455	0.2248320016
456	0.2246820185
457	0.2244742257
458	0.2242536847
459	0.2240476817
460	0.2237944752
461	0.2234440716
462	0.2232466626
463	0.2230771294
464	0.2228988859
465	0.2226403368
466	0.2224369299
467	0.2222553815
468	0.2220735535
469	0.2218600682
470	0.2217198215
471	0.2215064447
472	0.2213373095
473	0.2210224741
474	0.2208576952
475	0.2206207771
476	0.2202975372
477	0.2199787357
478	0.2196557306
479	0.2194658103
480	0.2193276218
481	0.2191210679
482	0.2188686969
483	0.2186724477
484	0.218460338
485	0.218320281
486	0.2181202651
487	0.2178738942
488	0.2174950478
489	0.2172737252
490	0.217043569
491	0.2168676255
492	0.2166781366
493	0.2164931069
494	0.2163762548
495	0.2160656252
496	0.2159123336
497	0.2155922598
498	0.2153032481
499	0.2151091883
500	0.2148813714
501	0.2146340363
502	0.2144160259
503	0.2142391404
504	0.2140101877
505	0.2136940243
506	0.2134427372
507	0.2131613228
508	0.2129860899
509	0.2126868107
510	0.2124344973
511	0.2121328049
512	0.2118232353
513	0.2115417895
514	0.2112869267
515	0.2109988492
516	0.210895844
517	0.2107213321
518	0.2105832298
519	0.2104832458
520	0.2102355228
521	0.209962146
522	0.2096536262
523	0.2094113729
524	0.2092213784
525	0.208999874
526	0.2088249367
527	0.2086565005
528	0.2085107689
529	0.2083600763
530	0.2082559044
531	0.2079936123
532	0.2076511934
533	0.2074077947
534	0.2072226325
535	0.2069978038
536	0.2068212121
537	0.2066608182
538	0.2065043295
539	0.2062504768
540	0.2060592394
541	0.2058407626
542	0.205585711
543	0.2054440605
544	0.2052877074
545	0.2050720931
546	0.2048610834
547	0.2045982206
548	0.2042095324
549	0.2039579823
550	0.2038214926
551	0.2035624648
552	0.203335273
553	0.203112232
554	0.2029551972
555	0.2026166632
556	0.2024698301
557	0.202308306
558	0.2020790787
559	0.201894093
560	0.2016883231
561	0.201538165
562	0.2012732102
563	0.2011223858
564	0.2009291795
565	0.2007574838
566	0.2005704509
567	0.2004219499
568	0.2002164328
569	0.1998992711
570	0.1996858898
571	0.1995591876
572	0.1994255378
573	0.1992927975
574	0.1991220488
575	0.1989607793
576	0.1987672638
577	0.1986244598
578	0.1983927353
579	0.1981972293
580	0.1979913379
581	0.1978244313
582	0.1975457699
583	0.1974580153
584	0.1972754969
585	0.1970469172
586	0.1969030518
587	0.1967102274
588	0.1966334009
589	0.1964667472
590	0.1962767269
591	0.196120998
592	0.1960129194
593	0.1958207285
594	0.1954681098
595	0.1952488798
596	0.1949902185
597	0.1947492939
598	0.1946072015
599	0.1944796352
600	0.1943881231
601	0.1942535857
602	0.1941277435
603	0.194054027
604	0.1938974492
605	0.1937005336
606	0.1935297359
607	0.1933963196
608	0.1931852612
609	0.1930000272
610	0.192758563
611	0.1925625242
612	0.1923675666
613	0.1921986942
614	0.1920404905
615	0.1919422723
616	0.1917409337
617	0.1915576749
618	0.1914062485
619	0.1912306317
620	0.1910528109
621	0.1909845348
622	0.1909169708
623	0.1907905591
624	0.1906729554
625	0.1905587518
626	0.1903417085
627	0.1900967732
628	0.1899195112
629	0.1896907292
630	0.1895494022
631	0.1894361514
632	0.1892348206
633	0.1890639702
634	0.1889316742
635	0.1887215334
636	0.1885408051
637	0.1882695114
638	0.1880654293
639	0.1879583508
640	0.1877429529
641	0.1875992014
642	0.1875112662
643	0.1873715988
644	0.1869565883
645	0.1868083041
646	0.1865982226
647	0.1864506449
648	0.1862518876
649	0.1861532926
650	0.1859189265
651	0.1857727125
652	0.1855790642
653	0.1855042862
654	0.18535458
655	0.1851980043
656	0.1849931627
657	0.1847951392
658	0.1846899768
659	0.1845377954
660	0.1843473561
661	0.1842133722
662	0.1839103915
663	0.1838255574
664	0.1836478014
665	0.1835110178
666	0.1833530973
667	0.1831836719
668	0.1829594032
669	0.1828971878
670	0.1827380433
671	0.1824564186
672	0.1822552306
673	0.1821439406
674	0.1820511961
675	0.1818133079
676	0.1815901628
677	0.1814917382
678	0.1813077273
679	0.1812104241
680	0.1810908356
681	0.1809991742
682	0.1808469228
683	0.1807527517
684	0.1806591103
685	0.1804482436
686	0.1803577092
687	0.1801977847
688	0.1801032613
689	0.1799515592
690	0.1797946559
691	0.1797026931
692	0.1794989744
693	0.1793843423
694	0.179243432
695	0.1791856749
696	0.1790749618
697	0.1789740401
698	0.1787870611
699	0.1786179083
700	0.1785113086
701	0.1783853952
702	0.1780686138
703	0.1779110659
704	0.1777524052
705	0.1776003045
706	0.1775002243
707	0.177383506
708	0.1772324902
709	0.1771053391
710	0.176757329
711	0.1766270673
712	0.1764477679
713	0.1762183634
714	0.1760829364
715	0.1759760872
716	0.1758443737
717	0.1757416702
718	0.175618766
719	0.1754682983
720	0.1753435208
721	0.1751974169
722	0.1751142364
723	0.1749906252
724	0.1749410436
725	0.1748326431
726	0.1746881146
727	0.174500214
728	0.1743830921
729	0.1742997851
730	0.1741212522
731	0.1739502211
732	0.1738598779
733	0.1737277749
734	0.1735072977
735	0.1732168706
736	0.1730086206
737	0.1728621911
738	0.1726814436
739	0.1724953888
740	0.1724113583
741	0.1722280785
742	0.1720318678
743	0.1719429097
